bin_id	Clone_0	Clone_1
bin_0	10	1
bin_1	10	1
bin_2	10	1
bin_3	10	1
bin_4	10	1
bin_5	10	1
bin_6	10	1
bin_7	10	1
bin_8	10	1
bin_9	10	1
bin_10	10	1
bin_11	10	1
bin_12	10	1
bin_13	10	1
bin_14	10	1
bin_15	10	1
bin_16	10	1
bin_17	10	1
bin_18	10	1
bin_19	10	1
bin_20	10	1
bin_21	10	1
bin_22	10	1
bin_23	10	1
bin_24	10	1
bin_25	10	1
bin_26	10	1
bin_27	10	1
bin_28	10	1
bin_29	10	1
bin_30	10	1
bin_31	10	1
bin_32	10	1
bin_33	10	1
bin_34	10	1
bin_35	10	1
bin_36	10	1
bin_37	10	1
bin_38	10	1
bin_39	10	1
bin_40	10	1
bin_41	10	1
bin_42	10	1
bin_43	10	1
bin_44	10	1
bin_45	10	1
bin_46	10	1
bin_47	10	1
bin_48	10	1
bin_49	10	1
bin_50	10	1
bin_51	10	1
bin_52	10	1
bin_53	10	1
bin_54	10	1
bin_55	10	1
bin_56	10	1
bin_57	10	1
bin_58	10	1
bin_59	10	1
bin_60	10	1
bin_61	10	1
bin_62	10	1
bin_63	10	1
bin_64	10	1
bin_65	10	1
bin_66	10	1
bin_67	10	1
bin_68	10	1
bin_69	10	1
bin_70	10	1
bin_71	10	1
bin_72	10	1
bin_73	10	1
bin_74	10	1
bin_75	10	1
bin_76	10	1
bin_77	10	1
bin_78	10	1
bin_79	10	1
bin_80	10	1
bin_81	10	1
bin_82	10	1
bin_83	10	1
bin_84	10	1
bin_85	10	1
bin_86	10	1
bin_87	10	1
bin_88	10	1
bin_89	10	1
bin_90	10	1
bin_91	10	1
bin_92	10	1
bin_93	10	1
bin_94	10	1
bin_95	10	1
bin_96	10	1
bin_97	10	1
bin_98	10	1
bin_99	10	1
bin_100	10	1
bin_101	10	1
bin_102	10	1
bin_103	10	1
bin_104	10	1
bin_105	10	1
bin_106	10	1
bin_107	10	1
bin_108	10	1
bin_109	10	1
bin_110	10	1
bin_111	10	1
bin_112	10	1
bin_113	10	1
bin_114	10	1
bin_115	10	1
bin_116	10	1
bin_117	10	1
bin_118	10	1
bin_119	10	1
bin_120	10	1
bin_121	10	1
bin_122	10	1
bin_123	10	1
bin_124	10	1
bin_125	10	1
bin_126	10	1
bin_127	10	1
bin_128	10	1
bin_129	10	1
bin_130	10	1
bin_131	10	1
bin_132	10	1
bin_133	10	1
bin_134	10	1
bin_135	10	1
bin_136	10	1
bin_137	10	1
bin_138	10	1
bin_139	10	1
bin_140	10	1
bin_141	10	1
bin_142	10	1
bin_143	10	1
bin_144	10	1
bin_145	10	1
bin_146	10	1
bin_147	10	1
bin_148	10	1
bin_149	10	1
bin_150	10	1
bin_151	10	1
bin_152	10	1
bin_153	10	1
bin_154	10	1
bin_155	10	1
bin_156	10	1
bin_157	10	1
bin_158	10	1
bin_159	10	1
bin_160	10	1
bin_161	10	1
bin_162	10	1
bin_163	10	1
bin_164	10	1
bin_165	10	1
bin_166	10	1
bin_167	10	1
bin_168	10	1
bin_169	10	1
bin_170	10	1
bin_171	10	1
bin_172	10	1
bin_173	10	1
bin_174	10	1
bin_175	10	1
bin_176	10	1
bin_177	10	1
bin_178	10	1
bin_179	10	1
bin_180	10	1
bin_181	10	1
bin_182	10	1
bin_183	10	1
bin_184	10	1
bin_185	10	1
bin_186	10	1
bin_187	10	1
bin_188	10	1
bin_189	10	1
bin_190	10	1
bin_191	10	1
bin_192	10	1
bin_193	10	1
bin_194	10	1
bin_195	10	1
bin_196	10	1
bin_197	10	1
bin_198	10	1
bin_199	10	1
bin_200	10	1
bin_201	10	1
bin_202	10	1
bin_203	10	1
bin_204	10	1
bin_205	10	1
bin_206	10	1
bin_207	10	1
bin_208	10	1
bin_209	10	1
bin_210	10	1
bin_211	10	1
bin_212	10	1
bin_213	10	1
bin_214	10	1
bin_215	10	1
bin_216	10	1
bin_217	10	1
bin_218	10	1
bin_219	10	1
bin_220	10	1
bin_221	10	1
bin_222	10	1
bin_223	10	1
bin_224	10	1
bin_225	10	1
bin_226	10	1
bin_227	10	1
bin_228	10	1
bin_229	10	1
bin_230	10	1
bin_231	10	1
bin_232	10	1
bin_233	10	1
bin_234	10	1
bin_235	10	1
bin_236	10	1
bin_237	10	1
bin_238	10	1
bin_239	10	1
bin_240	10	1
bin_241	10	1
bin_242	10	1
bin_243	10	1
bin_244	10	1
bin_245	10	1
bin_246	10	1
bin_247	10	1
bin_248	10	1
bin_249	10	1
bin_250	10	1
bin_251	10	1
bin_252	10	1
bin_253	10	1
bin_254	10	1
bin_255	10	1
bin_256	10	1
bin_257	10	1
bin_258	10	1
bin_259	10	1
bin_260	10	1
bin_261	10	1
bin_262	10	1
bin_263	10	1
bin_264	10	1
bin_265	10	1
bin_266	10	1
bin_267	10	1
bin_268	10	1
bin_269	10	1
bin_270	10	1
bin_271	10	1
bin_272	10	1
bin_273	10	1
bin_274	10	1
bin_275	10	1
bin_276	10	1
bin_277	10	1
bin_278	10	1
bin_279	10	1
bin_280	10	1
bin_281	10	1
bin_282	10	1
bin_283	10	1
bin_284	10	1
bin_285	10	1
bin_286	10	1
bin_287	10	1
bin_288	10	1
bin_289	10	1
bin_290	10	1
bin_291	10	1
bin_292	10	1
bin_293	10	1
bin_294	10	1
bin_295	10	1
bin_296	10	1
bin_297	10	1
bin_298	10	1
bin_299	10	1
bin_300	10	1
bin_301	10	1
bin_302	10	1
bin_303	10	1
bin_304	10	1
bin_305	10	1
bin_306	10	1
bin_307	10	1
bin_308	10	1
bin_309	10	1
bin_310	10	1
bin_311	10	1
bin_312	10	1
bin_313	10	1
bin_314	10	1
bin_315	10	1
bin_316	10	1
bin_317	10	1
bin_318	10	1
bin_319	10	1
bin_320	10	1
bin_321	10	1
bin_322	10	1
bin_323	10	1
bin_324	10	1
bin_325	10	1
bin_326	10	1
bin_327	10	1
bin_328	10	1
bin_329	10	1
bin_330	10	1
bin_331	10	1
bin_332	10	1
bin_333	10	1
bin_334	10	1
bin_335	10	1
bin_336	10	1
bin_337	10	1
bin_338	10	1
bin_339	10	1
bin_340	10	1
bin_341	10	1
bin_342	10	1
bin_343	10	1
bin_344	10	1
bin_345	10	1
bin_346	10	1
bin_347	10	1
bin_348	10	1
bin_349	10	1
bin_350	10	1
bin_351	10	1
bin_352	10	1
bin_353	10	1
bin_354	10	1
bin_355	10	1
bin_356	10	1
bin_357	10	1
bin_358	10	1
bin_359	10	1
bin_360	10	1
bin_361	10	1
bin_362	10	1
bin_363	10	1
bin_364	10	1
bin_365	10	1
bin_366	10	1
bin_367	10	1
bin_368	10	1
bin_369	10	1
bin_370	10	1
bin_371	10	1
bin_372	10	1
bin_373	10	1
bin_374	10	1
bin_375	10	1
bin_376	10	1
bin_377	10	1
bin_378	10	1
bin_379	10	1
bin_380	10	1
bin_381	10	1
bin_382	10	1
bin_383	10	1
bin_384	10	1
bin_385	10	1
bin_386	10	1
bin_387	10	1
bin_388	10	1
bin_389	10	1
bin_390	10	1
bin_391	10	1
bin_392	10	1
bin_393	10	1
bin_394	10	1
bin_395	10	1
bin_396	10	1
bin_397	10	1
bin_398	10	1
bin_399	10	1
bin_400	10	1
bin_401	10	1
bin_402	10	1
bin_403	10	1
bin_404	10	1
bin_405	10	1
bin_406	10	1
bin_407	10	1
bin_408	10	1
bin_409	10	1
bin_410	10	1
bin_411	10	1
bin_412	10	1
bin_413	10	1
bin_414	10	1
bin_415	10	1
bin_416	10	1
bin_417	10	1
bin_418	10	1
bin_419	10	1
bin_420	10	1
bin_421	10	1
bin_422	10	1
bin_423	10	1
bin_424	10	1
bin_425	10	1
bin_426	10	1
bin_427	10	1
bin_428	10	1
bin_429	10	1
bin_430	10	1
bin_431	10	1
bin_432	10	1
bin_433	10	1
bin_434	10	1
bin_435	10	1
bin_436	10	1
bin_437	10	1
bin_438	10	1
bin_439	10	1
bin_440	10	1
bin_441	10	1
bin_442	10	1
bin_443	10	1
bin_444	10	1
bin_445	10	1
bin_446	10	1
bin_447	10	1
bin_448	10	1
bin_449	10	1
bin_450	10	1
bin_451	10	1
bin_452	10	1
bin_453	10	1
